City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Airai,TL,60.8,overcast clouds,-8.9266,125.4092,
1,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Hithadhoo,MV,81.77,broken clouds,-0.6,73.0833,Scoop Guest House
4,Buta,CD,70.93,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
6,Busselton,AU,66.04,few clouds,-33.65,115.3333,Observatory Guest House
11,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
12,Lobatse,BW,66.58,broken clouds,-25.2167,25.6667,Swinburn's Rest
14,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
15,Butaritari,KI,82.67,broken clouds,3.0707,172.7902,Isles Sunset Lodge
20,Rio Gallegos,AR,69.85,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
21,Sungaipenuh,ID,63.34,light rain,-2.0833,101.3833,penginapan citra alam
23,Ilhabela,BR,78.13,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
26,New Norfolk,AU,62.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Bengkulu,ID,72.93,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
28,Kavieng,PG,82.29,broken clouds,-2.5744,150.7967,Nusa Island Retreat
29,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
30,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
31,Bubaque,GW,78.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
34,Rikitea,PF,79.09,overcast clouds,-23.1203,-134.9692,People ThankYou
35,Itupiranga,BR,80.92,moderate rain,-5.1347,-49.3267,Hotel Panorama
36,Omboue,GA,77.18,broken clouds,-1.5746,9.2618,Hotel Olako
38,Mayumba,GA,76.6,few clouds,-3.432,10.6554,LIKWALE LODGE
39,Atuona,PF,79.03,clear sky,-9.8,-139.0333,Villa Enata
40,Pacific Grove,US,69.58,clear sky,36.6177,-121.9166,Lovers Point Inn
43,Vaini,TO,76.87,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
45,Shinyanga,TZ,64.45,overcast clouds,-3.6667,33.4333,Dami Hotel
46,Mar Del Plata,AR,64.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,Hilo,US,75.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Taoudenni,ML,71.58,overcast clouds,22.6783,-3.9836,
54,Monte Carmelo,BR,70.75,heavy intensity rain,-18.7247,-47.4986,Park hotel
56,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
57,Namatanai,PG,83.26,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
59,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Chuy,UY,70.03,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
67,Hermanus,ZA,72.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Port Elizabeth,ZA,70.11,scattered clouds,-33.918,25.5701,39 On Nile Guest House
70,Fortuna,US,61.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
72,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
76,Kapaa,US,80.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Colon,PA,89.24,clear sky,9.3592,-79.9014,Sand Diamond Hotel
78,Lorengau,PG,82.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
80,Yulara,AU,69.01,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
83,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
85,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
88,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
90,Beira,MZ,80.51,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
91,Lakes Entrance,AU,66.16,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
94,Tomatlan,MX,83.19,scattered clouds,19.9333,-105.25,El Salvial
97,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
100,Bac Lieu,VN,75.56,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
