City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (in),Snow (in)
0,Airai,TL,2022-02-05 22:05:24,-8.9266,125.4092,60.8,91,93,1.5,overcast clouds,0.0,0.0
1,Puerto Ayora,EC,2022-02-05 22:01:44,-0.7393,-90.3518,78.55,84,70,5.99,broken clouds,0.0,0.0
2,Hithadhoo,MV,2022-02-05 22:02:09,-0.6,73.0833,81.77,75,81,11.52,broken clouds,0.0,0.0
3,Dikson,RU,2022-02-05 22:05:25,73.5069,80.5464,-19.23,100,99,3.18,overcast clouds,0.0,0.0
4,Buta,CD,2022-02-05 22:05:25,2.7858,24.73,70.93,38,84,1.74,broken clouds,0.0,0.0
5,Qaanaaq,GL,2022-02-05 22:02:25,77.484,-69.3632,1.17,97,100,2.62,overcast clouds,0.0,0.0
6,Busselton,AU,2022-02-05 22:01:46,-33.65,115.3333,66.04,90,18,6.85,few clouds,0.0,0.0
7,Havelock,US,2022-02-05 22:02:44,34.8791,-76.9013,45.97,54,3,3.0,clear sky,0.0,0.0
8,Hovd,MN,2022-02-05 22:05:26,48.0056,91.6419,-13.43,78,21,4.09,few clouds,0.0,0.0
9,Chokurdakh,RU,2022-02-05 22:02:14,70.6333,147.9167,-31.27,100,100,1.68,overcast clouds,0.0,0.0
10,Mataura,NZ,2022-02-05 22:01:59,-46.1927,168.8643,48.07,89,100,1.1,overcast clouds,0.0,0.0
11,Georgetown,MY,2022-02-05 22:00:16,5.4112,100.3354,79.9,82,20,3.44,few clouds,0.0,0.0
12,Lobatse,BW,2022-02-05 22:05:27,-25.2167,25.6667,66.58,66,53,4.76,broken clouds,0.0,0.0
13,Houston,US,2022-02-05 22:01:44,29.7633,-95.3633,53.85,36,0,3.0,clear sky,0.0,0.0
14,Belmonte,BR,2022-02-05 22:05:28,-15.8631,-38.8828,73.9,85,77,7.56,broken clouds,0.0,0.0
15,Butaritari,KI,2022-02-05 22:02:34,3.0707,172.7902,82.67,73,52,19.33,broken clouds,0.0,0.0
16,Lavrentiya,RU,2022-02-05 22:02:56,65.5833,-171.0,-15.97,94,9,9.64,clear sky,0.0,0.0
17,Lagoa,PT,2022-02-05 22:05:28,39.05,-27.9833,58.96,74,17,17.58,few clouds,0.0,0.0
18,Ilulissat,GL,2022-02-05 22:05:29,69.2167,-51.1,-0.9,75,100,8.41,overcast clouds,0.0,0.0
19,Komsomolskiy,UZ,2022-02-05 22:05:29,40.4272,71.7189,38.62,35,100,2.3,overcast clouds,0.0,0.0
20,Rio Gallegos,AR,2022-02-05 22:05:30,-51.6226,-69.2181,69.85,37,40,25.32,scattered clouds,0.0,0.0
21,Sungaipenuh,ID,2022-02-05 22:05:30,-2.0833,101.3833,63.34,99,100,1.81,light rain,0.13,0.0
22,Tuktoyaktuk,CA,2022-02-05 22:02:11,69.4541,-133.0374,-27.76,100,79,9.48,broken clouds,0.0,0.0
23,Ilhabela,BR,2022-02-05 22:05:30,-23.7781,-45.3581,78.13,90,100,6.08,overcast clouds,0.0,0.0
24,Albany,US,2022-02-05 21:59:11,42.6001,-73.9662,17.89,53,3,3.0,clear sky,0.0,0.0
25,Provideniya,RU,2022-02-05 22:01:57,64.3833,-173.3,-4.45,85,2,10.25,clear sky,0.0,0.0
26,New Norfolk,AU,2022-02-05 22:01:54,-42.7826,147.0587,62.65,64,96,2.42,overcast clouds,0.0,0.0
27,Bengkulu,ID,2022-02-05 22:03:27,-3.8004,102.2655,72.93,95,100,9.95,light rain,0.53,0.0
28,Kavieng,PG,2022-02-05 22:03:08,-2.5744,150.7967,82.29,75,53,4.59,broken clouds,0.0,0.0
29,Cape Town,ZA,2022-02-05 22:00:54,-33.9258,18.4232,73.11,62,5,1.01,clear sky,0.0,0.0
30,Bambous Virieux,MU,2022-02-05 22:03:02,-20.3428,57.7575,79.21,81,100,18.14,moderate rain,1.18,0.0
31,Bubaque,GW,2022-02-05 22:05:32,11.2833,-15.8333,78.17,71,1,13.11,clear sky,0.0,0.0
